Data\Ora;Tipologia;Periferica;Valore;Codice;Descrizione
09/05/2025 01:00:34;;7S0204;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 01:00:34;;7S0204;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 01:00:33;;7N0204;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 01:00:33;;7N0204;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:57:26;;7N0203;OFF;DB106.DBX17.2;#27 - General - Mancanza comunicazione profiSAFE con Satellite
09/05/2025 00:57:26;;7N0203;OFF;DB106.DBX18.3;#36 : General - Barriera Ottica Destra - Emettitore non ok
09/05/2025 00:57:14;;7S0202;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:57:14;;7S0202;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:57:14;;7N0202;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:57:14;;7N0202;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:55:43;;7S0203;ON;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:55:23;;7S0203;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:55:17;;7S0203;OFF;DB106.DBX13.3;#11 -  Generale -  Schiacciato Fungo EM BW
09/05/2025 00:55:17;;7S0203;OFF;DB106.DBX13.2;#10 -  Generale -  Schiacciato Fungo EM FW
09/05/2025 00:54:48;;7S0203;ON;DB106.DBX13.2;#10 -  Generale -  Schiacciato Fungo EM FW
09/05/2025 00:54:48;;7S0203;ON;DB106.DBX13.3;#11 -  Generale -  Schiacciato Fungo EM BW
09/05/2025 00:41:41;;7N0102;ON;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 00:38:38;;7N0102;OFF;DB106.DBX16.3;#20 - General - Passaggio in modalità manuale con missioni appese
09/05/2025 00:38:18;;7N0103;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:38:18;;7N0103;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:38:18;;7N0102;OFF;DB106.DBX0.1;#1002 - Missione Prelievo UDC - Tempo massimo di esecuzione raggiunto
09/05/2025 00:38:18;;7S0103;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:38:18;;7S0103;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:38:17;;7S0102;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:38:16;;7S0102;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:38:16;;7N0101;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:38:16;;7N0101;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:38:15;;7S0101;OFF;DB106.DBX12.0;#0 -  Generale -  Intervento circuito di sicurezza
09/05/2025 00:38:15;;7S0101;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:38:15;;7N0102;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:38:15;;7N0102;OFF;DB106.DBX14.3;#4 - Hardware - Mancanza segnale safe da terra
09/05/2025 00:37:20;;7N0102;ON;DB106.DBX16.3;#20 - General - Passaggio in modalità manuale con missioni appese
09/05/2025 00:37:09;;7N0102;ON;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
09/05/2025 00:37:09;;7S0102;ON;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:37:08;;7S0102;OFF;DB106.DBX13.4;#12 -  Generale -  Emergenza da shuttle
09/05/2025 00:37:08;;7N0102;OFF;DB106.DBX14.0;#1 - Hardware - Intervento circuito di sicurezza
